audio_asset_id,lesson_id,lesson_number,lesson_title,track_label,file,file_exists_local,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,related_section_id,related_section,mapping_method,mapping_status,printed_label_status,content_status,decode_status,duration_seconds,size_bytes,sha256,review_status,source_audio_root,source_file,source_order
,boya-intermediate-i-lesson-01,1,中国人的姓名,1-1,音频/第01课/1-1.mp3,True,,,[12],12,S01-002-01,听说（一）／课前准备／词语,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,1
,boya-intermediate-i-lesson-01,1,中国人的姓名,1-2,音频/第01课/1-2.mp3,True,,,[14],14,S01-003-01,听说（一）／词语理解／听对话，回答问题,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,2
,boya-intermediate-i-lesson-01,1,中国人的姓名,1-3,音频/第01课/1-3.mp3,True,,,[14],14,S01-003-02,听说（一）／词语理解／选出与所听到的句子意思相近的一项,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,3
,boya-intermediate-i-lesson-01,1,中国人的姓名,1-4,音频/第01课/1-4.mp3,True,,,[15],15,S01-003A-01,听说（一）／语句理解／听录音，跟读句子，并替换画线词语各说一句话,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,4
,boya-intermediate-i-lesson-01,1,中国人的姓名,1-5,音频/第01课/1-5.mp3,True,,,[15],15,S01-003A-02,听说（一）／语句理解／听录音，复述并模仿对话,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,5
,boya-intermediate-i-lesson-01,1,中国人的姓名,1-6,音频/第01课/1-6.mp3,True,,,[16],16,S01-004-02,听说（一）／语段理解／听对话，做练习,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,6
,boya-intermediate-i-lesson-01,1,中国人的姓名,2-1,音频/第01课/2-1.mp3,True,,,[21],21,S01-009-01,听说（二）／课前准备／词语,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,7
,boya-intermediate-i-lesson-01,1,中国人的姓名,2-2,音频/第01课/2-2.mp3,True,,,[22],22,S01-010-01,听说（二）／词语理解／听对话，回答问题,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,8
,boya-intermediate-i-lesson-01,1,中国人的姓名,2-3,音频/第01课/2-3.mp3,True,,,[22],22,S01-010A-01,听说（二）／语句理解／听录音，跟读句子，并替换画线词语各说一句话,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,9
,boya-intermediate-i-lesson-01,1,中国人的姓名,2-4,音频/第01课/2-4.mp3,True,,,[23],23,S01-010A-02,听说（二）／语句理解／听录音，复述并模仿对话,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,10
,boya-intermediate-i-lesson-01,1,中国人的姓名,2-5,音频/第01课/2-5.mp3,True,,,"[23,24]",23–24,S01-011-02,听说（二）／语段理解／听短文，做练习,printed_audio_label_on_source_page,verified,,,,,,,verified,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第01课,work/boya-intermediate/extractions/structured-lesson-01.json,11
A02-001,boya-intermediate-i-lesson-02,2,真正的朋友,1-1,音频/第02课/1-1.mp3,True,17,,,,S02-002-01,,,,verified,pending_listening,,63.869,,769f47e24db77b0a717548265de4eb5fd71d4da26e7533eec3ad71423f6713bc,pending_adam_review,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第02课,work/boya-intermediate/extractions/structured-lesson-02.json,1
A02-002,boya-intermediate-i-lesson-02,2,真正的朋友,1-2,音频/第02课/1-2.mp3,True,19,,,,S02-003-01,,,,verified,pending_listening,,106.632,,219d414f64024a162bd5109409815a427672c8956f07d29d6a18a757d9bffde0,pending_adam_review,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第02课,work/boya-intermediate/extractions/structured-lesson-02.json,2
A02-003,boya-intermediate-i-lesson-02,2,真正的朋友,1-3,音频/第02课/1-3.mp3,True,"[19,20]",19–20,,,S02-003-02,,,,verified,pending_listening,,52.297,,1978495f9f0513620f1ab30dbb756a413b517e722b9980d0044495cd0c84b158,pending_adam_review,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第02课,work/boya-intermediate/extractions/structured-lesson-02.json,3
A02-004,boya-intermediate-i-lesson-02,2,真正的朋友,1-4,音频/第02课/1-4.mp3,True,20,,,,S02-004-01,,,,verified,pending_listening,,54.387,,5f713b9cfccde23875527dd54e4eb24f1859db8922e79dada5405e092f62bfde,pending_adam_review,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第02课,work/boya-intermediate/extractions/structured-lesson-02.json,4
A02-005,boya-intermediate-i-lesson-02,2,真正的朋友,1-5,音频/第02课/1-5.mp3,True,20,,,,S02-004-02,,,,verified,pending_listening,,41.796,,c44f5535a34adc73cfe9ad94c6110b2f0e9dd810aad32576e04cba42b8966b7a,pending_adam_review,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第02课,work/boya-intermediate/extractions/structured-lesson-02.json,5
A02-006,boya-intermediate-i-lesson-02,2,真正的朋友,1-6,音频/第02课/1-6.mp3,True,21,,,,S02-005-02,,,,verified,pending_listening,,202.684,,1a1c7973f96bdbc5f7f053f00d5ef94d9a11580edfa446edc375b51a126ee3,pending_adam_review,Giáo trình/博雅汉语听说-中级冲刺篇/音频/第02课,work/boya-intermediate/extractions/structured-lesson-02.json,6
