record_id,lesson_id,lesson_number,lesson_title,order,chinese_simplified,pinyin,pinyin_raw,normalized_text,marked,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,section_id,section_label,part_of_speech,meaning_chinese_from_source,glossary_record_ids,source_note,uncertainty,raw_source_text,extraction_method,audio_asset_ids,review_status,lesson_review_status,translation_status,meaning_english,meaning_vietnamese,usage_register,collocations,example_sentence_source,example_sentence_teacher,character_components,source_file
V01-001,boya-intermediate-i-lesson-01,1,中国人的姓名,1,起名儿,qǐ míngr,qǐ míngr,起名儿,False,1,,12,,S01-002,课前准备,,,,,,起名儿 qǐ míngr,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-002,boya-intermediate-i-lesson-01,1,中国人的姓名,2,警告,jǐnggào,jǐnggào,警告,True,1,,12,,S01-002,课前准备,,,,,,警告* jǐnggào,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-003,boya-intermediate-i-lesson-01,1,中国人的姓名,3,愣,lèng,lèng,愣,True,1,,12,,S01-002,课前准备,,,,,,愣* lèng,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-004,boya-intermediate-i-lesson-01,1,中国人的姓名,4,惊讶,jīngyà,jīngyà,惊讶,True,1,,12,,S01-002,课前准备,,,,,,惊讶* jīngyà,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-005,boya-intermediate-i-lesson-01,1,中国人的姓名,5,从小,cóngxiǎo,cóngxiǎo,从小,False,1,,12,,S01-002,课前准备,,,,,,从小 cóngxiǎo,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-006,boya-intermediate-i-lesson-01,1,中国人的姓名,6,吃苦,chīkǔ,chīkǔ,吃苦,False,1,,12,,S01-002,课前准备,,,,,,吃苦 chīkǔ,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-007,boya-intermediate-i-lesson-01,1,中国人的姓名,7,怨,yuàn,yuàn,怨,False,1,,12,,S01-002,课前准备,,,,,,怨 yuàn,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-008,boya-intermediate-i-lesson-01,1,中国人的姓名,8,琢磨,zuómo,zuómo,琢磨,False,1,,12,,S01-002,课前准备,,,,,,琢磨 zuómo,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-009,boya-intermediate-i-lesson-01,1,中国人的姓名,9,费尽心机,fèijìn-xīnjī,fèijìn-xīnjī,费尽心机,True,1,,12,,S01-002,课前准备,,,,,,费尽心机* fèijìn-xīnjī,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-010,boya-intermediate-i-lesson-01,1,中国人的姓名,10,莫名其妙,mòmíngqímiào,mòmíngqímiào,莫名其妙,True,1,,12,,S01-002,课前准备,,,,,,莫名其妙* mòmíngqímiào,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-011,boya-intermediate-i-lesson-01,1,中国人的姓名,11,困惑不解,kùnhuò-bùjiě,kùnhuò-bùjiě,困惑不解,False,1,,12,,S01-002,课前准备,,,,,,困惑不解 kùnhuò-bùjiě,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
V01-012,boya-intermediate-i-lesson-01,1,中国人的姓名,12,与众不同,yǔzhòng-bùtóng,yǔzhòng-bùtóng,与众不同,False,2,,13,,S01-002,课前准备,,,,,,与众不同 yǔzhòng-bùtóng,manual_visual_transcription_from_scan_plus_ocr,"[""A01-001""]",pending_review,verified,not_started,,,,,,,,work/boya-intermediate/extractions/structured-lesson-01.json
