record_id,slide_numbers
"E01-034","4"
"E01-035","5"
"E01-001","7"
"E01-002","8"
"E01-003","9"
"E01-004","11"
"E01-005","12"
"E01-006","14"
"E01-007","15"
"E01-008","16、17"
"E01-009","19"
"E01-010","20"
"E01-011","21"
"E01-012","22"
"E01-013","24"
"E01-014","25、26、27"
"E01-015","29"
"E01-016","30、31"
"E01-017","32"
"E01-018","33"
"E01-019","35"
"E01-020","37"
"E01-021","38"
"E01-022","40"
"E01-023","41"
"E01-024","43"
"E01-025","44"
"E01-026","45"
"E01-027","47、48、49、50"
"E01-028","52"
"E01-029","53、54、55"
"E01-030","57"
"E01-031","58"
"E01-032","59"
"E01-033","60、61"
