slide_no,deck,source_refs,source_pages,qa_role
5,online,canonical-source.json#sections.vocabulary.entries[1],59,vocabulary
6,online,canonical-source.json#sections.vocabulary.entries[2],59,vocabulary
7,online,canonical-source.json#sections.vocabulary.entries[3],59,vocabulary
8,online,canonical-source.json#sections.vocabulary.entries[4],59,vocabulary
9,online,canonical-source.json#sections.vocabulary.entries[5],59,vocabulary
10,online,canonical-source.json#sections.vocabulary,59,vocabulary-practice
11,online,canonical-source.json#sections.vocabulary.entries[6],59,vocabulary
12,online,canonical-source.json#sections.vocabulary.entries[7],59,vocabulary
13,online,canonical-source.json#sections.vocabulary.entries[8],59,vocabulary
14,online,canonical-source.json#sections.vocabulary.entries[9],59,vocabulary
15,online,canonical-source.json#sections.vocabulary.entries[10],59,vocabulary
16,online,canonical-source.json#sections.vocabulary,59,vocabulary-practice
17,online,canonical-source.json#sections.vocabulary.entries[11],59,vocabulary
18,online,canonical-source.json#sections.vocabulary.entries[12],59,vocabulary
19,online,canonical-source.json#sections.vocabulary.entries[13],59,vocabulary
20,online,canonical-source.json#sections.vocabulary.entries[14],59,vocabulary
21,online,canonical-source.json#sections.vocabulary.entries[15],59,vocabulary
22,online,canonical-source.json#sections.vocabulary,59,vocabulary-practice
23,online,canonical-source.json#sections.vocabulary.entries[16],59,vocabulary
24,online,canonical-source.json#sections.vocabulary.entries[17],59,vocabulary
25,online,canonical-source.json#sections.vocabulary.entries[18],60,vocabulary
26,online,canonical-source.json#sections.vocabulary.entries[19],60,vocabulary
27,online,canonical-source.json#sections.vocabulary.entries[20],60,vocabulary
28,online,canonical-source.json#sections.vocabulary,59–60,vocabulary-practice
29,online,canonical-source.json#sections.vocabulary.entries[21],60,vocabulary
30,online,canonical-source.json#sections.vocabulary.entries[22],60,vocabulary
31,online,canonical-source.json#sections.vocabulary.entries[23],60,vocabulary
32,online,canonical-source.json#sections.vocabulary.entries[24],60,vocabulary
33,online,canonical-source.json#sections.vocabulary.entries[25],60,vocabulary
34,online,canonical-source.json#sections.vocabulary,60,vocabulary-practice
35,online,canonical-source.json#sections.vocabulary.entries[26],60,vocabulary
38,online,canonical-source.json#sections.short_text_1,61–62,short-text-summary
39,online,canonical-source.json#sections.short_text_1,62,short-text-record
41,online,canonical-source.json#sections.short_text_2,63–64,short-text-summary
42,online,canonical-source.json#sections.short_text_2,64,short-text-record
44,online,canonical-source.json#sections.short_text_3,64–65,short-text-summary
45,online,canonical-source.json#sections.short_text_3,65,short-text-record
47,online,canonical-source.json#sections.common_expressions,62,expression
48,online,canonical-source.json#sections.common_expressions,62,expression
49,online,canonical-source.json#sections.common_expressions,62,expression
50,online,canonical-source.json#sections.common_expressions,62,expression
51,online,canonical-source.json#sections.common_expressions,63,expression
52,online,canonical-source.json#sections.common_expressions,63,expression
53,online,canonical-source.json#sections.common_expressions,64,expression
54,online,canonical-source.json#sections.common_expressions,64,expression
55,online,canonical-source.json#sections.common_expressions,64,expression
56,online,canonical-source.json#sections.common_expressions,64,expression
57,online,canonical-source.json#sections.common_expressions,64,expression
58,online,canonical-source.json#sections.common_expressions,65,expression
59,online,canonical-source.json#sections.common_expressions,65,expression
60,online,canonical-source.json#sections.common_expressions,65,expression
61,online,canonical-source.json#sections.common_expressions,65,expression
62,online,canonical-source.json#sections.common_expressions,65,expression
63,online,canonical-source.json#sections.short_text_3,65,final-personal-task
65,online,canonical-source.json#sections.comprehensive_practice,66,comprehensive-table
66,online,canonical-source.json#sections.comprehensive_practice,67,comprehensive-personal

