slide_no,deck,source_refs,source_pages,qa_role
6,face-to-face,00-source/canonical-source.json#sections.vocabulary,68、69,foundation-listening
7,face-to-face,00-source/canonical-source.json#sections.vocabulary_comprehension,70,foundation-listening
8,face-to-face,00-source/canonical-source.json#sections.listening_sentences,70,foundation-listening
15,face-to-face,00-source/canonical-source.json#sections.short_text_1,71、72,short-text-1-listening
16,face-to-face,00-source/canonical-source.json#sections.short_text_1,71、72,short-text-1-second-listen
17,face-to-face,00-source/canonical-source.json#sections.short_text_1,71、72,short-text-1-first-listen
19,face-to-face,00-source/canonical-source.json#sections.short_text_1,71、72,short-text-1-speaking
20,face-to-face,00-source/canonical-source.json#sections.short_text_1,71、72,short-text-1-compare
22,face-to-face,00-source/canonical-source.json#sections.common_expressions,72,expression
23,face-to-face,00-source/canonical-source.json#sections.common_expressions,72,expression
24,face-to-face,00-source/canonical-source.json#sections.common_expressions,72,expression
25,face-to-face,00-source/canonical-source.json#sections.common_expressions,72,expression
26,face-to-face,00-source/canonical-source.json#sections.common_expressions,72,expression
27,face-to-face,00-source/canonical-source.json#sections.common_expressions,72,expression
29,face-to-face,00-source/canonical-source.json#sections.short_text_2,72、73,short-text-2-listening
30,face-to-face,00-source/canonical-source.json#sections.short_text_2,72、73,short-text-2-second-listen
31,face-to-face,00-source/canonical-source.json#sections.short_text_2,72、73,short-text-2-first-listen
33,face-to-face,00-source/canonical-source.json#sections.short_text_2,72、73,short-text-2-speaking
34,face-to-face,00-source/canonical-source.json#sections.short_text_2,72、73,short-text-2-compare
36,face-to-face,00-source/canonical-source.json#sections.common_expressions,73,expression
37,face-to-face,00-source/canonical-source.json#sections.common_expressions,73,expression
38,face-to-face,00-source/canonical-source.json#sections.common_expressions,73,expression
39,face-to-face,00-source/canonical-source.json#sections.common_expressions,73,expression
40,face-to-face,00-source/canonical-source.json#sections.common_expressions,73,expression
41,face-to-face,00-source/canonical-source.json#sections.common_expressions,73,expression
43,face-to-face,00-source/canonical-source.json#sections.short_text_3,74,short-text-3-listening
44,face-to-face,00-source/canonical-source.json#sections.short_text_3,74,short-text-3-second-listen
45,face-to-face,00-source/canonical-source.json#sections.short_text_3,74,short-text-3-first-listen
47,face-to-face,00-source/canonical-source.json#sections.short_text_3,74,short-text-3-speaking
48,face-to-face,00-source/canonical-source.json#sections.short_text_3,74,short-text-3-compare
50,face-to-face,00-source/canonical-source.json#sections.common_expressions,74,expression
51,face-to-face,00-source/canonical-source.json#sections.common_expressions,74,expression
52,face-to-face,00-source/canonical-source.json#sections.common_expressions,74,expression
53,face-to-face,00-source/canonical-source.json#sections.common_expressions,74,expression
54,face-to-face,00-source/canonical-source.json#sections.common_expressions,74,expression
55,face-to-face,00-source/canonical-source.json#sections.common_expressions,74,expression
57,face-to-face,00-source/canonical-source.json#sections.comprehensive_practice,75,comprehensive-introduction
58,face-to-face,00-source/canonical-source.json#sections.comprehensive_practice,75,comprehensive-questions
59,face-to-face,00-source/canonical-source.json#sections.comprehensive_practice,76,personal-output
