slide_no,deck,source_refs,source_pages,qa_role
planned,online,canonical-source.json#sections.vocabulary.entries,87-88,vocabulary
planned,online,canonical-source.json#sections.vocabulary_comprehension,88,vocabulary-comprehension
planned,online,canonical-source.json#sections.listening_sentences,88-89,listening-sentences
planned,online,canonical-source.json#sections.short_text_1,89-90,short-text-1
planned,online,canonical-source.json#sections.short_text_2,91-92,short-text-2
planned,online,canonical-source.json#sections.short_text_3,92-93,short-text-3
planned,online,canonical-source.json#sections.common_expressions,90-93,expressions
planned,online,canonical-source.json#sections.comprehensive_practice,94-95,comprehensive
planned,face-to-face,canonical-source.json#sections.vocabulary_comprehension,88,warmup
planned,face-to-face,canonical-source.json#sections.listening_sentences,88-89,first-three-listening
planned,face-to-face,canonical-source.json#sections.short_text_1,89-90,short-text-1
planned,face-to-face,canonical-source.json#sections.short_text_2,91-92,short-text-2
planned,face-to-face,canonical-source.json#sections.short_text_3,92-93,short-text-3
planned,face-to-face,canonical-source.json#sections.common_expressions,90-93,expressions
planned,face-to-face,canonical-source.json#sections.comprehensive_practice,94-95,comprehensive
