slide_no,source_refs
1,
2,
3,
4,sections.vocabulary
5,sections.vocabulary
6,sections.vocabulary
7,sections.vocabulary
8,sections.vocabulary
9,sections.vocabulary
10,sections.vocabulary
11,sections.vocabulary
12,sections.vocabulary
13,sections.vocabulary
14,sections.vocabulary
15,sections.vocabulary
16,sections.vocabulary
17,sections.vocabulary
18,sections.vocabulary
19,sections.vocabulary
20,sections.vocabulary
21,sections.vocabulary
22,sections.vocabulary
23,sections.vocabulary
24,sections.vocabulary
25,sections.vocabulary
26,sections.vocabulary
27,sections.vocabulary
28,sections.vocabulary
29,sections.vocabulary_comprehension
30,sections.vocabulary_comprehension
31,sections.vocabulary_comprehension
32,sections.vocabulary_comprehension
33,sections.listening_sentences
34,sections.listening_sentences
35,sections.listening_sentences
36,sections.listening_sentences
37,sections.listening_sentences
38,sections.listening_sentences
39,sections.short_text_1
40,sections.short_text_1
41,sections.short_text_1
42,sections.short_text_1
43,sections.short_text_1
44,sections.short_text_1
45,sections.short_text_2
46,sections.short_text_2
47,sections.short_text_2
48,sections.short_text_2
49,sections.short_text_2
50,sections.short_text_2
51,sections.short_text_3
52,sections.short_text_3
53,sections.short_text_3
54,sections.short_text_3
55,sections.short_text_3
56,sections.short_text_3
57,sections.short_text_3
