slide_no,source_refs
1,
2,
3,
4,sections.vocabulary
5,sections.vocabulary
6,sections.vocabulary
7,sections.vocabulary
8,sections.vocabulary
9,sections.vocabulary
10,sections.vocabulary
11,sections.vocabulary
12,sections.vocabulary
13,sections.vocabulary
14,sections.vocabulary
15,sections.vocabulary
16,sections.vocabulary
17,sections.vocabulary
18,sections.vocabulary
19,sections.vocabulary
20,sections.vocabulary
21,sections.vocabulary
22,sections.vocabulary
23,sections.vocabulary
24,sections.vocabulary
25,sections.vocabulary
26,sections.vocabulary
27,sections.vocabulary
28,sections.vocabulary
29,sections.vocabulary
30,sections.vocabulary
31,sections.vocabulary
32,sections.vocabulary
33,sections.vocabulary
34,sections.vocabulary
35,sections.vocabulary
36,sections.vocabulary
37,sections.vocabulary
38,sections.vocabulary
39,sections.vocabulary_comprehension
40,sections.vocabulary_comprehension
41,sections.vocabulary_comprehension
42,sections.vocabulary_comprehension
43,sections.listening_sentences
44,sections.listening_sentences
45,sections.listening_sentences
46,sections.listening_sentences
47,sections.listening_sentences
48,sections.listening_sentences
49,sections.short_text_1
50,sections.short_text_1
51,sections.short_text_1
52,sections.short_text_1
53,sections.short_text_1
54,sections.short_text_1
55,sections.short_text_1
56,sections.short_text_1
57,sections.short_text_2
58,sections.short_text_2
59,sections.short_text_2
60,sections.short_text_2
61,sections.short_text_2
62,sections.short_text_2
63,sections.short_text_2
64,sections.short_text_2
65,sections.short_text_3
66,sections.short_text_3
67,sections.short_text_3
68,sections.short_text_3
69,sections.short_text_3
70,sections.short_text_3
71,sections.short_text_3
72,sections.short_text_3
73,sections.short_text_3
74,sections.short_text_3
