slide,file,module,source
1,01-cover.html,cover.html,"see README and slide footer"
2,02-lesson-flow.html,lesson-flow.html,"see README and slide footer"
3,03-warmup.html,warmup.html,"see README and slide footer"
4,04-objectives.html,objectives.html,"see README and slide footer"
5,05-vocab-overview.html,vocab-overview.html,"see README and slide footer"
6,06-vocab-1.html,vocab-1.html,"see README and slide footer"
7,07-vocab-2.html,vocab-2.html,"see README and slide footer"
8,08-vocab-3.html,vocab-3.html,"see README and slide footer"
9,09-vocab-4.html,vocab-4.html,"see README and slide footer"
10,10-vocab-5.html,vocab-5.html,"see README and slide footer"
11,11-vocab-practice-cards.html,vocab-practice-cards.html,"see README and slide footer"
12,12-vocab-practice-numbers.html,vocab-practice-numbers.html,"see README and slide footer"
13,13-vocab-practice-negation.html,vocab-practice-negation.html,"see README and slide footer"
14,14-text-preview.html,text-preview.html,"see README and slide footer"
15,15-text-dialogue.html,text-dialogue.html,"see README and slide footer"
16,16-culture.html,culture.html,"see README and slide footer"
17,17-discussion.html,discussion.html,"see README and slide footer"
18,18-exercises-overview.html,exercises-overview.html,"see README and slide footer"
19,19-homework.html,homework.html,"see README and slide footer"
20,20-closing.html,closing.html,"see README and slide footer"
