lesson_key,textbook_id,volume,lesson_id,lesson_number,lesson_title,textbook_printed_start_page,source_pdf_start_page,vocabulary_source,grammar_source,source_status
boya-elementary-i:lesson-01,boya-elementary-i,初级起步篇 I,lesson-01,1,拼音和日常用语（一）,1,12,拼音与日常用语；无独立词语表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-02,boya-elementary-i,初级起步篇 I,lesson-02,2,拼音和日常用语（二）,6,18,拼音与日常用语；无独立词语表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-03,boya-elementary-i,初级起步篇 I,lesson-03,3,拼音和日常用语（三）,10,21,拼音与日常用语；无独立词语表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-04,boya-elementary-i,初级起步篇 I,lesson-04,4,你叫什么名字,16,27,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-05,boya-elementary-i,初级起步篇 I,lesson-05,5,认识你很高兴,24,35,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-06,boya-elementary-i,初级起步篇 I,lesson-06,6,这是什么,33,44,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-07,boya-elementary-i,初级起步篇 I,lesson-07,7,欢迎去我家玩儿,42,53,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-08,boya-elementary-i,初级起步篇 I,lesson-08,8,明天晚上你有时间吗,50,61,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-09,boya-elementary-i,初级起步篇 I,lesson-09,9,我们怎么去,58,69,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-10,boya-elementary-i,初级起步篇 I,lesson-10,10,西瓜怎么卖,69,80,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-11,boya-elementary-i,初级起步篇 I,lesson-11,11,明天天气怎么样,80,91,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-12,boya-elementary-i,初级起步篇 I,lesson-12,12,我正在等公共汽车呢,89,100,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-13,boya-elementary-i,初级起步篇 I,lesson-13,13,你打算买什么样子,99,109,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-14,boya-elementary-i,初级起步篇 I,lesson-14,14,祝你生日快乐,109,120,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-15,boya-elementary-i,初级起步篇 I,lesson-15,15,我可以试试吗,119,130,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-16,boya-elementary-i,初级起步篇 I,lesson-16,16,来一斤饺子,129,140,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-17,boya-elementary-i,初级起步篇 I,lesson-17,17,喝茶还是喝咖啡,139,150,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-18,boya-elementary-i,初级起步篇 I,lesson-18,18,今天我七点半就起床了,150,161,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-19,boya-elementary-i,初级起步篇 I,lesson-19,19,你又熬夜了,160,171,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-20,boya-elementary-i,初级起步篇 I,lesson-20,20,我想请一天假,170,181,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-21,boya-elementary-i,初级起步篇 I,lesson-21,21,每个人要说多长时间,180,191,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-22,boya-elementary-i,初级起步篇 I,lesson-22,22,明天你下了课去哪儿,189,200,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-23,boya-elementary-i,初级起步篇 I,lesson-23,23,假期有什么打算,198,209,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-24,boya-elementary-i,初级起步篇 I,lesson-24,24,学得怎么样,209,220,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-i:lesson-25,boya-elementary-i,初级起步篇 I,lesson-25,25,准备好了吗,218,229,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-01,boya-elementary-ii,初级起步篇 II,lesson-01,1,订一张机票,1,12,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-02,boya-elementary-ii,初级起步篇 II,lesson-02,2,您有房子出租，是吗,12,23,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-03,boya-elementary-ii,初级起步篇 II,lesson-03,3,我丢了一个钱包,23,34,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-04,boya-elementary-ii,初级起步篇 II,lesson-04,4,我在中国生活,33,44,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-05,boya-elementary-ii,初级起步篇 II,lesson-05,5,在饭馆儿点菜,43,54,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-06,boya-elementary-ii,初级起步篇 II,lesson-06,6,参加学校社团,53,64,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-07,boya-elementary-ii,初级起步篇 II,lesson-07,7,去动物园,63,74,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-08,boya-elementary-ii,初级起步篇 II,lesson-08,8,一场篮球比赛,72,83,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-09,boya-elementary-ii,初级起步篇 II,lesson-09,9,糟糕的一天,82,93,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-10,boya-elementary-ii,初级起步篇 II,lesson-10,10,你的旅行怎么样,91,102,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-11,boya-elementary-ii,初级起步篇 II,lesson-11,11,做一个家常菜,101,112,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-12,boya-elementary-ii,初级起步篇 II,lesson-12,12,搬进学校的宿舍,112,123,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-13,boya-elementary-ii,初级起步篇 II,lesson-13,13,我叫“不紧张”,122,133,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-14,boya-elementary-ii,初级起步篇 II,lesson-14,14,实现理想,132,143,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-15,boya-elementary-ii,初级起步篇 II,lesson-15,15,我喜欢的咖啡厅,141,152,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
boya-elementary-ii:lesson-16,boya-elementary-ii,初级起步篇 II,lesson-16,16,母校聚会,150,161,词语页（第4课起） + 词语总表,参考句式/参考句型、重点句子/常用句子；必要时保留旧候选待核对,pdf_ocr_extracted_needs_translation_and_manual_review
