glossary_record_id,lesson_id,lesson_number,lesson_title,source_type,source_record_id,section_id,textbook_page,source_pdf_page,hanzi,pinyin,part_of_speech,definition_raw,review_status,source_file,raw_glossary
GL01-c0db0702,boya-intermediate-i-lesson-01,1,中国人的姓名,text_glossary,T01-002,,,,遐想,xiáxiǎng,动,想得很远，联想很多。,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json,遐想（动）xiáxiǎng：想得很远，联想很多。
GL01-eefb9931,boya-intermediate-i-lesson-01,1,中国人的姓名,text_glossary,T01-002,,,,渴望,kěwàng,动,迫切地希望。,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json,渴望（动）kěwàng：迫切地希望。
GL01-412b2943,boya-intermediate-i-lesson-01,1,中国人的姓名,text_glossary,T01-002,,,,吉利,jílì,形,吉祥顺利。,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json,吉利（形）jílì：吉祥顺利。
GL01-2665cf53,boya-intermediate-i-lesson-01,1,中国人的姓名,text_glossary,T01-002,,,,送终,sòng zhōng,,长辈临终时在身边照料；也指安排长辈亲属丧事。,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json,送终 sòng zhōng：长辈临终时在身边照料；也指安排长辈亲属丧事。
GL01-fcf2679d,boya-intermediate-i-lesson-01,1,中国人的姓名,text_glossary,T01-002,,,,谨慎,jǐnshèn,形,说话办事小心。,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json,谨慎（形）jǐnshèn：说话办事小心。
GL01-18c18740,boya-intermediate-i-lesson-01,1,中国人的姓名,text_glossary,T01-002,,,,沾边儿,zhān biānr,,有关系。,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json,沾边儿 zhān biānr：有关系。
GL05-0f43ecd9,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,器乐,qìyuè,名,用乐器演奏的音乐。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,器乐（名）qìyuè：用乐器演奏的音乐。
GL05-adbdeabc,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,合奏,hézòu,动,几种乐器共同演奏。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,合奏（动）hézòu：几种乐器共同演奏。
GL05-2b5804a0,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,重奏,chóngzòu,名,两个或两个以上的人演奏同一乐曲。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,重奏（名）chóngzòu：两个或两个以上的人演奏同一乐曲。
GL05-11447f51,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,相对而言,xiāngduì ér yán,,指有所区别。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,相对而言 xiāngduì ér yán：指有所区别。
GL05-f1df5ee6,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,充实,chōngshí,动,使变得更加充足。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,充实（动）chōngshí：使变得更加充足。
GL05-14277788,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,抒发,shūfā,动,表达。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,抒发（动）shūfā：表达。
GL05-3a62db99,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-003,,,,探索,tàn suǒ,动,积极寻求答案，找到解决办法。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,探索（动）tàn suǒ：积极寻求答案，找到解决办法。
GL05-b100ab80,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,举足轻重,,jǔzú-qīngzhòng,所处地位重要，一举一动都关乎全局。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,举足轻重（jǔzú-qīngzhòng）：所处地位重要，一举一动都关乎全局。
GL05-06d0e6e3,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,乐圣,yuèshèng,名,在音乐领域成就最高的人。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,乐圣（名）yuèshèng：在音乐领域成就最高的人。
GL05-5d9d6fc7,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,音乐世家,,yīnyuè shìjiā,世代都从事音乐事业的家庭。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,音乐世家（yīnyuè shìjiā）：世代都从事音乐事业的家庭。
GL05-4b59e93a,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,天分,tiānfèn,名,天生的资质。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,天分（名）tiānfèn：天生的资质。
GL05-3ceb4574,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,自如,zìrú,形,随心所欲，不受约束。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,自如（形）zìrú：随心所欲，不受约束。
GL05-05e754d0,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,失聪,shīcōng,动,失去听觉。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,失聪（动）shīcōng：失去听觉。
GL05-4d68cd5d,boya-intermediate-i-lesson-05,5,音乐的魅力,text_glossary,T05-004,,,,奔放,bēnfàng,形,尽情显露，不受拘束。,pending_review,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-05.json,奔放（形）bēnfàng：尽情显露，不受拘束。
G06-001,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-007-02,86,97,残疾人,cánjírén,,指身体有残疾的人。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-002,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-007-02,86,97,倡议,chàngyì,名,首先提出的主张。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-003,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-007-02,86,97,增设,zēngshè,动,增加，设立。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-004,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-007-02,86,97,享有,xiǎngyǒu,动,在社会上取得（权利、声誉、威望等）。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-005,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-007-02,86,97,歧视,qíshì,动,不平等地看待。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-006,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-007-02,86,97,格言,géyán,名,含有教育意义的话。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-007,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,菩萨,púsà,名,佛教指修行到了一定程度、地位仅次于佛的人。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-008,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,端庄,duānzhuāng,形,（举止、神情）端正、庄重。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-009,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,慈祥,cíxiáng,形,（态度、神色）和蔼、安详。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-010,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,神通,shéntōng,名,指无所不能的力量。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-011,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,大慈大悲,dàcí-dàbēi,,非常慈善。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-012,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,诞生,dànshēng,动,出生，出现。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-013,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,供奉,gòngfèng,动,敬奉，供养。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-014,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,闭幕式,bìmùshì,名,大型活动结束时的仪式。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
G06-015,boya-intermediate-i-lesson-06,6,挑战,lesson_glossary,,S06-015-02,94,105,轰动,hōngdòng,动,同时惊动很多人。,visually_confirmed,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-06.json,
