record_id,lesson_id,lesson_number,lesson_title,order,pattern,pattern_raw,normalized_text,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,section_id,section_label,meaning_raw,explanation_raw,examples_text,examples_json,example_count,example_text_ids,raw_source_text,extraction_method,review_status,lesson_review_status,translation_status,usage_function,form_slots,register_or_tone,common_errors,contrast_patterns,teacher_example,task_evidence,source_file
G01-001,boya-intermediate-i-lesson-01,1,中国人的姓名,1,总不能……吧,总不能……吧,总不能……吧,6,,17,,S01-005,口语句式,,“总不能……吧”表示“不管怎么样，都不能……”。,,,0,,"你总不能让大家都叫你孩子“叔”吧！
“总不能……吧”表示“不管怎么样，都不能……”。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
G01-002,boya-intermediate-i-lesson-01,1,中国人的姓名,2,……才怪呢,……才怪呢,……才怪呢,6,,17,,S01-005,口语句式,,“……才怪呢”强调在某种情况下肯定会出现某种结果或肯定不会出现某种结果。,,,0,,"将来孩子参加比赛、玩儿游戏什么的输了，不怨你才怪呢！
“……才怪呢”强调在某种情况下肯定会出现某种结果或肯定不会出现某种结果。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
G01-003,boya-intermediate-i-lesson-01,1,中国人的姓名,3,到时候,到时候,到时候,6,,17,,S01-005,口语句式,,“到时候”指将来某一特定的时间，所说的事情发生或出现时候。,,,0,,"到时候别说我没警告过你！
“到时候”指将来某一特定的时间，所说的事情发生或出现时候。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
G01-004,boya-intermediate-i-lesson-01,1,中国人的姓名,4,话说回来,话说回来,话说回来,6,,17,,S01-005,口语句式,,“话说回来”在强调某一方面之后，又从另一方面分析或说明，二者在意思上相反，而后者往往是说话人真正想说的。,,,0,,"不过话说回来，老常，起名儿还是要低调一点儿。
“话说回来”在强调某一方面之后，又从另一方面分析或说明，二者在意思上相反，而后者往往是说话人真正想说的。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
G01-005,boya-intermediate-i-lesson-01,1,中国人的姓名,5,不然,不然,不然,13,,24,,S01-012,口语句式,,“不然”用在复句的下半句，表示如果不是上文所说的情况，就会发生或可能发生下文所说的结论或结果。,,,0,,"不管你喜欢不喜欢，你都要姓这个姓，不然就对不起祖宗。
“不然”用在复句的下半句，表示如果不是上文所说的情况，就会发生或可能发生下文所说的结论或结果。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
G01-006,boya-intermediate-i-lesson-01,1,中国人的姓名,6,是……还是……,是……还是……,是……还是……,13,,24,,S01-012,口语句式,,“是……还是……”表示在二者之间进行选择。,,,0,,"这是亲热的称呼还是尊称？
“是……还是……”表示在二者之间进行选择。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
G01-007,boya-intermediate-i-lesson-01,1,中国人的姓名,7,怎么……怎么……,怎么……怎么……,怎么……怎么……,13,,24,,S01-012,口语句式,,“怎么……怎么……”表示“无论怎么……都……”。,,,0,,"人们怎么称呼她？老经理？老老师？老校长？老厂长？怎么叫怎么别扭。
“怎么……怎么……”表示“无论怎么……都……”。",manual_visual_transcription_from_scan_plus_ocr,pending_review,verified,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
P02-001,boya-intermediate-i-lesson-02,2,真正的朋友,1,有几个……呢,,,22,,,,S02-006-01,常用句式,反问句，意思是“没有几个……”。,,"现在的年轻人，有几个爱听京剧的呢？
天下父母，有几个不爱自己的孩子呢？
住在大山里的孩子，有几个见过飞机呢？","[""现在的年轻人，有几个爱听京剧的呢？"",""天下父母，有几个不爱自己的孩子呢？"",""住在大山里的孩子，有几个见过飞机呢？""]",3,,,,visually_confirmed,pending_adam_review,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
P02-002,boya-intermediate-i-lesson-02,2,真正的朋友,2,没什么……的,,,22,,,,S02-006-01,常用句式,加强否定，意思是“不……”。,,"无非是唱念做打，没什么新鲜的。
这些影片都太老了，没什么可看的。
这些游戏我都玩儿过，没什么好玩儿的。","[""无非是唱念做打，没什么新鲜的。"",""这些影片都太老了，没什么可看的。"",""这些游戏我都玩儿过，没什么好玩儿的。""]",3,,,,visually_confirmed,pending_adam_review,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
P02-003,boya-intermediate-i-lesson-02,2,真正的朋友,3,像那么回事,,,22,,,,S02-006-01,常用句式,表示在形象上有共同之处或模仿得很有水平。,,"我去看过几次，觉得还蛮像那么回事的。
我看过留学生们表演的京剧，还真像那么回事。
他很会模仿动物，学起动物的叫声来还挺像那么回事的。","[""我去看过几次，觉得还蛮像那么回事的。"",""我看过留学生们表演的京剧，还真像那么回事。"",""他很会模仿动物，学起动物的叫声来还挺像那么回事的。""]",3,,,,visually_confirmed,pending_adam_review,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
P02-004,boya-intermediate-i-lesson-02,2,真正的朋友,4,露一手,,,22,,,,S02-006-01,常用句式,表示在别人面前显露一下才能。,,"什么时候你给我们露一手，唱两段？
我会做中国菜，等我有时间给你们露一手。
听说你乒乓球打得不错，什么时候给我们露一手？","[""什么时候你给我们露一手，唱两段？"",""我会做中国菜，等我有时间给你们露一手。"",""听说你乒乓球打得不错，什么时候给我们露一手？""]",3,,,,visually_confirmed,pending_adam_review,not_started,,,,,,,,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-02.json
