section_id,lesson_id,lesson_number,lesson_title,section_order,section_level,section_type,section_label_raw,source_part_id,source_part_label,parent_section_id,textbook_page,textbook_page_range,source_pdf_page,source_pdf_page_range,audio_asset_ids,review_status,source_file
S01-001,boya-intermediate-i-lesson-01,1,中国人的姓名,1,1,listening_part_1,听说（一）,S01-001,听说（一）,,,,"{""start"":12,""end"":20}",12–20,"[""A01-001"",""A01-002"",""A01-003"",""A01-004"",""A01-005"",""A01-006""]",verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-001-01,boya-intermediate-i-lesson-01,1,中国人的姓名,2,2,part_topic,起名儿难,S01-001,听说（一）,S01-001,,,[12],12,,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-002,boya-intermediate-i-lesson-01,1,中国人的姓名,3,2,preparation,课前准备,S01-001,听说（一）,S01-001,,,"[12,13]",12–13,"[""A01-001""]",verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-002-01,boya-intermediate-i-lesson-01,1,中国人的姓名,4,3,vocabulary_list,词语,S01-001,听说（一）,S01-002,,,"[12,13]",12–13,"[""A01-001""]",verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-002-02,boya-intermediate-i-lesson-01,1,中国人的姓名,5,3,classroom_exchange,课堂小组交流,S01-001,听说（一）,S01-002,,,[13],13,,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-002-03,boya-intermediate-i-lesson-01,1,中国人的姓名,6,3,survey,小调查,S01-001,听说（一）,S01-002,,,[13],13,,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-003,boya-intermediate-i-lesson-01,1,中国人的姓名,7,2,vocabulary_comprehension,词语理解,S01-001,听说（一）,S01-001,,,"[14,15]",14–15,"[""A01-002"",""A01-003""]",verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-003-01,boya-intermediate-i-lesson-01,1,中国人的姓名,8,3,listening_questions,听对话，回答问题,S01-001,听说（一）,S01-003,,,[14],14,"[""A01-002""]",verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-003-02,boya-intermediate-i-lesson-01,1,中国人的姓名,9,3,listening_multiple_choice,选出与所听到的句子意思相近的一项,S01-001,听说（一）,S01-003,,,[14],14,"[""A01-003""]",verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
S01-003-03,boya-intermediate-i-lesson-01,1,中国人的姓名,10,3,guided_speaking,用三至五句话回答问题，并使用画线词语,S01-001,听说（一）,S01-003,,,[15],15,,verified,textbooks/boya-intermediate-i/source/derived/extractions/structured-lesson-01.json
